City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
443,Sainte-Marie,RE,-20.8968,55.5496,77.16,78,20,13.8,few clouds
444,Craig,US,40.5153,-107.5464,30.15,55,0,6.91,clear sky
445,Rupert,US,42.6191,-113.6772,42.75,65,100,3.44,overcast clouds
446,Leninskoye,KZ,41.7589,69.3864,39.96,76,100,5.91,overcast clouds
447,Maniitsoq,GL,65.4167,-52.9,19.54,59,73,9.1,broken clouds
448,Shirakawa,JP,37.1223,140.2376,32.38,70,69,1.61,broken clouds
449,Skjervoy,NO,70.0311,20.9714,21.2,60,18,12.17,few clouds
450,Bosaso,SO,11.2842,49.1816,74.98,75,0,5.3,clear sky
451,Mikkeli,FI,61.6886,27.2723,17.71,79,100,4.61,overcast clouds
452,Lompoc,US,34.6391,-120.4579,57.52,91,75,8.05,broken clouds
453,Chamlykskaya,RU,44.7158,40.8786,37.6,70,100,7.07,overcast clouds
454,Bissau,GW,11.8636,-15.5977,73.51,60,94,2.3,overcast clouds
455,Pangai,TO,-19.8,-174.35,82.51,78,75,0.0,moderate rain
456,Arman,RU,59.7,150.1667,-7.73,82,12,7.25,few clouds
457,Konza,KE,-1.7426,37.1294,54.93,86,7,5.08,clear sky
458,Tartagal,AR,-22.5164,-63.8013,81.25,29,6,3.53,clear sky
459,Inirida,CO,3.8653,-67.9239,80.22,67,97,1.48,overcast clouds
460,Vao,NC,-22.6667,167.4833,79.59,81,100,11.36,overcast clouds
461,Karasburg,NA,-28.0167,18.75,60.67,45,0,12.88,clear sky
462,Port Lincoln,AU,-34.7333,135.8667,65.32,73,43,16.04,scattered clouds
463,Steamboat Springs,US,40.485,-106.8317,30.0,73,0,0.0,clear sky
464,Pevek,RU,69.7008,170.3133,-29.15,95,100,3.27,overcast clouds
465,Palmer,US,42.1584,-72.3287,42.85,84,100,6.91,overcast clouds
466,Jumla,NP,29.2747,82.1838,31.21,14,0,6.26,clear sky
467,Broome,US,42.2506,-75.833,48.0,71,0,4.61,clear sky
468,General Pico,AR,-35.6566,-63.7568,89.78,18,82,6.67,broken clouds
469,Freeport,US,40.6576,-73.5832,49.05,90,100,8.05,overcast clouds
470,Severnoye,RU,56.3491,78.3619,-11.78,100,30,3.62,scattered clouds
