City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Banepa,NP,35.92,mist,27.6298,85.5214,rajendra
430,Krasnyy Chikoy,RU,5.0,overcast clouds,50.3643,108.7512,"Гостиница ЗАО ""Слюдянка"""
431,Halifax,CA,32.68,overcast clouds,44.6453,-63.5724,Four Points by Sheraton Halifax
434,Tazovskiy,RU,-41.55,few clouds,67.4667,78.7,Тазовчанка
437,Cascais,PT,59.94,broken clouds,38.6979,-9.4215,Cascais Hotel
438,Sheridan,US,36.3,clear sky,44.8333,-106.9173,Comfort Inn & Suites
439,Wundanyi,KE,59.2,scattered clouds,-3.4019,38.364,Lavender Garden Hotel
441,Kalmunai,LK,74.68,scattered clouds,7.4167,81.8167,Saji new food
442,Vyazemskiy,RU,-4.47,broken clouds,47.5378,134.7525,Гостиница
443,Bullhead City,US,61.09,clear sky,35.1478,-114.5683,Laughlin River Lodge
444,Dunedin,NZ,59.81,broken clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
446,Kathu,TH,82.74,overcast clouds,7.9178,98.3332,Tinidee Hotel
447,Bandrele,YT,80.35,light rain,-12.9067,45.1914,Les Baobabs
448,Pangkalanbuun,ID,80.11,overcast clouds,-2.6833,111.6167,Hotel Tiara
449,Marystown,CA,31.35,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
450,Esso,RU,8.76,overcast clouds,55.9333,158.7,Горизонты Камчатки
453,Sechura,PE,69.87,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
454,Olafsvik,IS,31.91,overcast clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
455,Kananga,CD,67.28,overcast clouds,-5.8958,22.4178,Hôtel Résidence
458,College,US,5.58,light snow,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
460,Smithers,CA,23.0,overcast clouds,54.7804,-127.1743,Sunshine Inn Hotel
461,Lardos,GR,55.22,clear sky,36.0942,28.0157,smartline Ellia
463,Mana,GF,75.76,overcast clouds,5.6592,-53.7767,Le Samana
465,Faanui,PF,81.14,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
466,Isla Vista,US,60.35,clear sky,34.4133,-119.861,The Club & Guest House
468,Port-Gentil,GA,80.17,overcast clouds,-0.7193,8.7815,Tara-Mé
469,Winfield,US,46.49,clear sky,37.2398,-96.9956,Comfort Inn
471,Kabarnet,KE,53.96,clear sky,0.4919,35.743,City Clock Hotel
473,Tiebissou,CI,71.04,few clouds,7.1574,-5.2257,Hôtel La Providence
474,Antigonish,CA,32.83,overcast clouds,45.6169,-61.9986,Microtel Hotel
475,Port Shepstone,ZA,63.95,light rain,-30.7414,30.455,The Spot Backpackers'
478,Puerto Narino,CO,72.3,light rain,-3.7703,-70.3831,Eco Hotel Euare
480,Stolin,BY,25.38,overcast clouds,51.8912,26.846,Горынь
481,Nabire,ID,86.5,broken clouds,-3.3667,135.4833,Hotel Anggrek
483,Makat,KZ,37.42,overcast clouds,47.6469,53.3463,Гостиница ЛПУ Макат
484,Parrita,CR,75.97,clear sky,9.5201,-84.3225,Hotel Paraíso Carlisa
